"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2021","71.85","72.95","73.90","71.60","517.49K","-3.88%"
"Mar 23, 2021","74.75","77.30","77.70","74.50","456.51K","-2.16%"
"Mar 22, 2021","76.40","73.70","77.00","72.10","1.08M","6.41%"
"Mar 19, 2021","71.80","72.35","74.30","69.25","1.49M","-4.65%"
"Mar 18, 2021","75.30","78.00","79.05","74.60","2.47M","-3.46%"
"Mar 17, 2021","78.00","78.80","81.80","77.15","756.27K","-1.39%"
"Mar 16, 2021","79.10","80.10","80.70","78.70","753.57K","-2.10%"
"Mar 15, 2021","80.80","82.95","83.30","79.70","989.64K","-2.18%"
"Mar 12, 2021","82.60","83.00","84.20","82.00","276.98K","-0.48%"
"Mar 10, 2021","83.00","84.90","85.95","82.70","543.20K","-0.54%"
"Mar 09, 2021","83.45","84.50","85.30","82.80","399.68K","-1.30%"
"Mar 08, 2021","84.55","85.15","86.20","83.50","834.62K","-0.41%"
"Mar 05, 2021","84.90","87.00","88.00","84.25","2.19M","-3.03%"
"Mar 04, 2021","87.55","86.50","90.50","85.75","939.27K","-1.52%"
"Mar 03, 2021","88.90","85.65","89.85","83.55","1.34M","6.09%"
"Mar 02, 2021","83.80","83.00","84.85","83.00","336.17K","0.72%"
"Mar 01, 2021","83.20","84.05","84.90","82.80","723.23K","0.60%"
"Feb 26, 2021","82.70","83.00","84.80","82.50","593.72K","-2.76%"
"Feb 25, 2021","85.05","84.05","86.70","84.05","564.03K","1.49%"
"Feb 24, 2021","83.80","83.00","85.25","83.00","924.00K","0.96%"
"Feb 23, 2021","83.00","83.90","84.85","82.55","949.78K","-1.01%"
"Feb 22, 2021","83.85","85.60","86.20","81.80","699.43K","-2.84%"
"Feb 19, 2021","86.30","88.25","88.50","85.30","338.61K","-2.15%"
"Feb 18, 2021","88.20","87.60","89.20","87.60","474.80K","-0.23%"
"Feb 17, 2021","88.40","87.10","90.60","86.20","939.93K","0.97%"
"Feb 16, 2021","87.55","88.75","89.05","87.05","278.84K","-1.90%"
"Feb 15, 2021","89.25","91.60","91.60","89.00","196.40K","-1.54%"
"Feb 12, 2021","90.65","93.20","94.00","89.85","974.88K","3.36%"
"Feb 11, 2021","87.70","87.85","89.55","87.00","285.01K","-0.17%"
"Feb 10, 2021","87.85","87.90","90.30","87.05","776.05K","1.15%"
"Feb 09, 2021","86.85","89.20","89.20","86.50","238.74K","-1.53%"
"Feb 08, 2021","88.20","88.45","89.60","88.00","378.65K","-0.23%"
"Feb 05, 2021","88.40","88.00","91.95","88.00","1.06M","1.38%"
"Feb 04, 2021","87.20","85.15","88.10","85.05","212.33K","2.41%"
"Feb 03, 2021","85.15","86.00","86.70","84.15","166.74K","-0.29%"
"Feb 02, 2021","85.40","86.00","87.00","85.10","427.62K","0.77%"
"Feb 01, 2021","84.75","83.60","85.50","83.00","538.99K","2.29%"
"Jan 29, 2021","82.85","83.80","84.45","82.45","1.08M","1.10%"
"Jan 28, 2021","81.95","82.50","83.75","81.15","230.62K","-2.50%"
"Jan 27, 2021","84.05","85.20","85.30","83.35","173.38K","-1.75%"
"Jan 25, 2021","85.55","88.10","88.85","84.65","486.27K","-2.78%"
"Jan 22, 2021","88.00","89.30","90.15","87.40","539.24K","-1.35%"
"Jan 21, 2021","89.20","91.00","93.50","88.60","1.10M","-1.71%"
"Jan 20, 2021","90.75","90.90","93.60","89.00","375.76K","0.61%"
"Jan 19, 2021","90.20","88.50","91.15","88.15","596.92K","3.38%"
"Jan 18, 2021","87.25","89.95","90.50","86.15","670.86K","-2.62%"
"Jan 15, 2021","89.60","91.30","91.95","88.70","550.40K","-1.81%"
"Jan 14, 2021","91.25","92.25","93.00","91.00","273.61K","-1.40%"
"Jan 13, 2021","92.55","94.70","95.00","91.20","312.30K","-1.23%"
"Jan 12, 2021","93.70","94.00","95.70","93.45","520.16K","0.92%"
"Jan 11, 2021","92.85","94.00","94.40","92.50","539.38K","-1.07%"
"Jan 08, 2021","93.85","94.80","94.80","93.50","198.64K","0.48%"
"Jan 07, 2021","93.40","94.65","95.15","92.25","425.30K","-0.05%"
"Jan 06, 2021","93.45","93.90","95.50","92.40","878.49K","-0.43%"
"Jan 05, 2021","93.85","93.10","95.35","92.90","634.68K","-1.52%"
"Jan 04, 2021","95.30","96.10","97.15","94.50","449.37K","0.79%"
"Jan 01, 2021","94.55","95.80","95.80","94.30","200.91K","-0.42%"
"Dec 31, 2020","94.95","94.80","96.20","93.50","294.72K","-0.11%"
"Dec 30, 2020","95.05","95.70","97.45","91.30","650.56K","0.26%"
"Dec 29, 2020","94.80","97.00","97.35","94.25","576.62K","-0.78%"
"Dec 28, 2020","95.55","96.80","97.55","92.50","569.23K","0.37%"
"Dec 24, 2020","95.20","98.30","99.50","94.10","1.96M","-2.81%"
"Dec 23, 2020","97.95","89.60","97.95","89.05","2.44M","9.99%"
"Dec 22, 2020","89.05","84.30","90.30","82.35","2.38M","-2.62%"
"Dec 21, 2020","91.45","101.65","101.65","91.45","1.12M","-9.99%"
"Dec 18, 2020","101.60","103.10","105.10","101.15","873.74K","0.05%"
"Dec 17, 2020","101.55","103.40","106.30","100.05","1.07M","-3.65%"
"Dec 16, 2020","105.40","103.45","107.30","102.00","1.16M","2.28%"
"Dec 15, 2020","103.05","104.00","105.30","102.20","1.44M","0.39%"
"Dec 14, 2020","102.65","106.95","107.95","102.00","1.16M","-3.30%"
"Dec 11, 2020","106.15","103.15","107.95","100.60","2.57M","6.52%"
"Dec 10, 2020","99.65","92.40","101.15","88.00","3.85M","6.24%"
"Dec 09, 2020","93.80","96.80","97.00","92.80","1.78M","-2.95%"
"Dec 08, 2020","96.65","97.60","99.35","93.75","1.55M","2.33%"
"Dec 07, 2020","94.45","91.00","95.90","90.30","1.85M","5.77%"
"Dec 04, 2020","89.30","85.70","91.85","85.70","4.20M","9.77%"
"Dec 03, 2020","81.35","78.00","83.40","78.00","1.30M","5.79%"
"Dec 02, 2020","76.90","75.45","77.55","74.40","2.45M","3.92%"
"Dec 01, 2020","74.00","71.90","75.00","70.20","961.76K","3.50%"
"Nov 27, 2020","71.50","71.30","72.00","69.50","516.32K","1.42%"
"Nov 26, 2020","70.50","70.10","71.25","68.75","489.68K","1.51%"
"Nov 25, 2020","69.45","72.00","72.45","68.75","1.03M","-1.84%"
"Nov 24, 2020","70.75","71.40","73.20","70.30","538.37K","0.21%"
"Nov 23, 2020","70.60","74.05","76.00","66.40","1.43M","-2.96%"
"Nov 20, 2020","72.75","74.60","79.75","71.05","6.64M","-2.15%"
"Nov 19, 2020","74.35","68.25","76.80","68.00","6.85M","12.06%"
"Nov 18, 2020","66.35","60.50","67.20","60.25","3.37M","12.27%"
"Nov 17, 2020","59.10","56.00","59.90","54.80","2.03M","6.78%"
"Nov 14, 2020","55.35","55.35","55.35","55.35","-","1.65%"
"Nov 13, 2020","54.45","54.55","55.15","53.60","906.68K","-1.00%"
"Nov 12, 2020","55.00","54.00","57.10","53.20","2.46M","1.85%"
"Nov 11, 2020","54.00","51.60","55.00","51.00","1.01M","5.16%"
"Nov 10, 2020","51.35","52.75","53.30","50.75","797.15K","2.70%"
"Nov 09, 2020","50.00","51.50","51.80","49.25","175.23K","-0.99%"
"Nov 06, 2020","50.50","49.80","51.20","49.40","607.43K","3.06%"
"Nov 05, 2020","49.00","48.90","50.00","48.80","213.74K","0.20%"
"Nov 04, 2020","48.90","48.60","49.65","48.55","123.03K","-0.61%"
"Nov 03, 2020","49.20","49.95","50.00","48.90","98.13K","0.41%"
"Nov 02, 2020","49.00","51.00","51.00","48.75","111.68K","-1.21%"
"Oct 30, 2020","49.60","50.25","51.45","49.20","116.06K","-0.50%"
"Oct 29, 2020","49.85","50.30","50.50","49.50","118.13K","-1.48%"
"Oct 28, 2020","50.60","51.25","52.30","50.30","144.60K","-2.60%"
"Oct 27, 2020","51.95","51.00","52.30","50.20","345.88K","1.86%"
"Oct 26, 2020","51.00","52.40","52.65","50.50","597.06K","-2.21%"
"Oct 23, 2020","52.15","48.10","53.75","48.05","3.08M","8.99%"
"Oct 22, 2020","47.85","48.80","48.80","47.65","118.23K","-1.44%"
"Oct 21, 2020","48.55","48.10","49.05","47.95","167.50K","1.25%"
"Oct 20, 2020","47.95","48.00","48.95","47.75","200.76K","-0.72%"
"Oct 19, 2020","48.30","48.95","50.00","47.90","440.52K","0.84%"
"Oct 16, 2020","47.90","47.00","48.40","47.00","136.11K","-0.10%"
"Oct 15, 2020","47.95","49.50","49.50","47.80","116.85K","-1.94%"
"Oct 14, 2020","48.90","47.95","49.20","47.55","143.02K","1.66%"
"Oct 13, 2020","48.10","48.50","48.90","47.85","202.63K","-0.52%"
"Oct 12, 2020","48.35","50.00","50.80","48.00","301.14K","-3.30%"
"Oct 09, 2020","50.00","51.40","51.40","49.80","107.27K","-0.20%"
"Oct 08, 2020","50.10","50.20","50.80","49.60","132.90K","-0.30%"
"Oct 07, 2020","50.25","51.40","52.00","50.05","125.24K","-1.86%"
"Oct 06, 2020","51.20","52.35","52.35","50.85","179.20K","-0.39%"
"Oct 05, 2020","51.40","50.30","52.00","49.55","642.30K","2.19%"
"Oct 01, 2020","50.30","48.25","51.15","48.25","498.98K","4.25%"
"Sep 30, 2020","48.25","48.25","49.00","48.15","130.89K","-0.52%"
"Sep 29, 2020","48.50","48.05","48.95","48.05","82.39K","1.04%"
"Sep 28, 2020","48.00","47.15","48.35","47.15","281.35K","2.89%"
"Sep 25, 2020","46.65","45.60","47.25","45.60","264.00K","0.65%"
"Sep 24, 2020","46.35","48.00","48.00","46.20","236.42K","-4.24%"
"Sep 23, 2020","48.40","48.25","49.60","47.95","112.98K","-0.92%"
"Sep 22, 2020","48.85","49.40","49.75","47.15","245.49K","-1.91%"
"Sep 21, 2020","49.80","51.50","52.00","49.30","264.97K","-3.30%"
"Sep 18, 2020","51.50","52.20","52.60","51.25","121.31K","-1.06%"
"Sep 17, 2020","52.05","53.45","53.65","52.00","154.16K","-1.98%"
"Sep 16, 2020","53.10","53.05","54.90","52.30","680.27K","-0.56%"
"Sep 15, 2020","53.40","54.50","54.50","52.70","341.32K","0.19%"
"Sep 14, 2020","53.30","52.30","54.00","51.05","482.61K","3.90%"
"Sep 11, 2020","51.30","50.95","52.40","50.60","388.30K","0.79%"
"Sep 10, 2020","50.90","51.15","51.55","50.60","174.96K","0.79%"
"Sep 09, 2020","50.50","50.95","51.15","49.75","250.46K","-2.13%"
"Sep 08, 2020","51.60","52.10","52.90","51.40","363.37K","-1.34%"
"Sep 07, 2020","52.30","54.00","54.20","51.60","677.26K","-2.52%"
"Sep 04, 2020","53.65","52.00","56.55","49.80","1.31M","2.19%"
"Sep 03, 2020","52.50","53.40","53.70","52.15","333.88K","3.24%"
"Sep 02, 2020","50.85","51.00","51.45","50.40","185.54K","0.30%"
"Sep 01, 2020","50.70","50.10","51.80","50.10","347.92K","-1.55%"
"Aug 31, 2020","51.50","53.00","53.00","49.65","604.61K","-1.62%"
"Aug 28, 2020","52.35","52.60","52.80","52.10","280.68K","0.67%"
"Aug 27, 2020","52.00","52.45","52.70","51.70","263.47K","-0.57%"
"Aug 26, 2020","52.30","53.00","53.10","52.00","468.74K","0.87%"
"Aug 25, 2020","51.85","52.80","53.20","51.60","444.45K","-0.67%"
"Aug 24, 2020","52.20","54.20","54.35","51.90","483.77K","-3.51%"
"Aug 21, 2020","54.10","52.50","54.50","52.00","2.01M","4.95%"
